delivery_date,origin_id,destination_id,distance_km
DEMO_DATE_1,DEMO_C005,DEMO_C007,13.0149
DEMO_DATE_1,DEMO_C005,DEMO_C008,18.4673
DEMO_DATE_1,DEMO_C005,DEMO_C_BIG,1.6541
DEMO_DATE_1,DEMO_C006,DEPOT_1,2.1591
DEMO_DATE_1,DEMO_C006,DEMO_C001,5.3405
DEMO_DATE_1,DEMO_C006,DEMO_C002,15.8545
DEMO_DATE_1,DEMO_C006,DEMO_C003,12.3875
DEMO_DATE_1,DEMO_C006,DEMO_C004,8.5028
DEMO_DATE_1,DEMO_C006,DEMO_C005,12.0579
DEMO_DATE_1,DEMO_C006,DEMO_C006,0.0
DEMO_DATE_1,DEMO_C006,DEMO_C007,2.7791
DEMO_DATE_1,DEMO_C006,DEMO_C008,6.5106
DEMO_DATE_1,DEMO_C006,DEMO_C_BIG,12.3752
DEMO_DATE_1,DEMO_C007,DEPOT_1,4.8608
DEMO_DATE_1,DEMO_C007,DEMO_C001,5.2745
DEMO_DATE_1,DEMO_C007,DEMO_C002,13.7632
DEMO_DATE_1,DEMO_C007,DEMO_C003,10.2617
DEMO_DATE_1,DEMO_C007,DEMO_C004,6.4624
DEMO_DATE_1,DEMO_C007,DEMO_C005,13.0149
DEMO_DATE_1,DEMO_C007,DEMO_C006,2.7791
DEMO_DATE_1,DEMO_C007,DEMO_C007,0.0
DEMO_DATE_1,DEMO_C007,DEMO_C008,7.0115
DEMO_DATE_1,DEMO_C007,DEMO_C_BIG,13.648
DEMO_DATE_1,DEMO_C008,DEPOT_1,6.1568
DEMO_DATE_1,DEMO_C008,DEMO_C001,1.932
DEMO_DATE_1,DEMO_C008,DEMO_C002,20.3925
DEMO_DATE_1,DEMO_C008,DEMO_C003,9.9083
DEMO_DATE_1,DEMO_C008,DEMO_C004,6.8818
DEMO_DATE_1,DEMO_C008,DEMO_C005,18.4673
DEMO_DATE_1,DEMO_C008,DEMO_C006,6.5106
DEMO_DATE_1,DEMO_C008,DEMO_C007,7.0115
DEMO_DATE_1,DEMO_C008,DEMO_C008,0.0
DEMO_DATE_1,DEMO_C008,DEMO_C_BIG,18.6224
DEMO_DATE_1,DEMO_C_BIG,DEPOT_1,12.518
DEMO_DATE_1,DEMO_C_BIG,DEMO_C001,17.7004
DEMO_DATE_1,DEMO_C_BIG,DEMO_C002,17.1968
DEMO_DATE_1,DEMO_C_BIG,DEMO_C003,23.7692
DEMO_DATE_1,DEMO_C_BIG,DEMO_C004,20.0791
DEMO_DATE_1,DEMO_C_BIG,DEMO_C005,1.6541
DEMO_DATE_1,DEMO_C_BIG,DEMO_C006,12.3752
DEMO_DATE_1,DEMO_C_BIG,DEMO_C007,13.648
DEMO_DATE_1,DEMO_C_BIG,DEMO_C008,18.6224
DEMO_DATE_1,DEMO_C_BIG,DEMO_C_BIG,0.0
DEMO_DATE_2,DEPOT_1,DEPOT_1,0.0
DEMO_DATE_2,DEPOT_1,DEMO_C001,11.3614
DEMO_DATE_2,DEPOT_1,DEMO_C002,6.0922
DEMO_DATE_2,DEPOT_1,DEMO_C003,4.5817
DEMO_DATE_2,DEPOT_1,DEMO_C004,6.8856
DEMO_DATE_2,DEPOT_1,DEMO_C005,12.5234
DEMO_DATE_2,DEPOT_1,DEMO_C006,9.5555
DEMO_DATE_2,DEPOT_1,DEMO_C007,7.9354
DEMO_DATE_2,DEPOT_1,DEMO_C008,8.9601
DEMO_DATE_2,DEPOT_1,DEMO_C_BIG,11.0967
DEMO_DATE_2,DEMO_C001,DEPOT_1,11.3614
DEMO_DATE_2,DEMO_C001,DEMO_C001,0.0
DEMO_DATE_2,DEMO_C001,DEMO_C002,13.8987
DEMO_DATE_2,DEMO_C001,DEMO_C003,12.5438
DEMO_DATE_2,DEMO_C001,DEMO_C004,5.783
DEMO_DATE_2,DEMO_C001,DEMO_C005,4.3628
DEMO_DATE_2,DEMO_C001,DEMO_C006,19.9697
DEMO_DATE_2,DEMO_C001,DEMO_C007,7.4473
DEMO_DATE_2,DEMO_C001,DEMO_C008,20.1824
DEMO_DATE_2,DEMO_C001,DEMO_C_BIG,19.2648
DEMO_DATE_2,DEMO_C002,DEPOT_1,6.0922
DEMO_DATE_2,DEMO_C002,DEMO_C001,13.8987
DEMO_DATE_2,DEMO_C002,DEMO_C002,0.0
DEMO_DATE_2,DEMO_C002,DEMO_C003,1.6509
DEMO_DATE_2,DEMO_C002,DEMO_C004,8.1328
DEMO_DATE_2,DEMO_C002,DEMO_C005,13.0346
DEMO_DATE_2,DEMO_C002,DEMO_C006,13.2239
DEMO_DATE_2,DEMO_C002,DEMO_C007,7.242
DEMO_DATE_2,DEMO_C002,DEMO_C008,8.4672
DEMO_DATE_2,DEMO_C002,DEMO_C_BIG,5.5575
DEMO_DATE_2,DEMO_C003,DEPOT_1,4.5817
DEMO_DATE_2,DEMO_C003,DEMO_C001,12.5438
DEMO_DATE_2,DEMO_C003,DEMO_C002,1.6509
DEMO_DATE_2,DEMO_C003,DEMO_C003,0.0
DEMO_DATE_2,DEMO_C003,DEMO_C004,6.8512
DEMO_DATE_2,DEMO_C003,DEMO_C005,12.0673
DEMO_DATE_2,DEMO_C003,DEMO_C006,12.5324
DEMO_DATE_2,DEMO_C003,DEMO_C007,6.3604
DEMO_DATE_2,DEMO_C003,DEMO_C008,8.75
DEMO_DATE_2,DEMO_C003,DEMO_C_BIG,7.1647
DEMO_DATE_2,DEMO_C004,DEPOT_1,6.8856
DEMO_DATE_2,DEMO_C004,DEMO_C001,5.783
DEMO_DATE_2,DEMO_C004,DEMO_C002,8.1328
DEMO_DATE_2,DEMO_C004,DEMO_C003,6.8512
DEMO_DATE_2,DEMO_C004,DEMO_C004,0.0
DEMO_DATE_2,DEMO_C004,DEMO_C005,5.6677
DEMO_DATE_2,DEMO_C004,DEMO_C006,16.3693
DEMO_DATE_2,DEMO_C004,DEMO_C007,2.4082
DEMO_DATE_2,DEMO_C004,DEMO_C008,15.0236
DEMO_DATE_2,DEMO_C004,DEMO_C_BIG,13.4855
DEMO_DATE_2,DEMO_C005,DEPOT_1,12.5234
DEMO_DATE_2,DEMO_C005,DEMO_C001,4.3628
DEMO_DATE_2,DEMO_C005,DEMO_C002,13.0346
DEMO_DATE_2,DEMO_C005,DEMO_C003,12.0673
DEMO_DATE_2,DEMO_C005,DEMO_C004,5.6677
DEMO_DATE_2,DEMO_C005,DEMO_C005,0.0
DEMO_DATE_2,DEMO_C005,DEMO_C006,21.9068
DEMO_DATE_2,DEMO_C005,DEMO_C007,5.7945
DEMO_DATE_2,DEMO_C005,DEMO_C008,20.5809
DEMO_DATE_2,DEMO_C005,DEMO_C_BIG,17.8285
DEMO_DATE_2,DEMO_C006,DEPOT_1,9.5555
DEMO_DATE_2,DEMO_C006,DEMO_C001,19.9697
DEMO_DATE_2,DEMO_C006,DEMO_C002,13.2239
DEMO_DATE_2,DEMO_C006,DEMO_C003,12.5324
DEMO_DATE_2,DEMO_C006,DEMO_C004,16.3693
DEMO_DATE_2,DEMO_C006,DEMO_C005,21.9068
DEMO_DATE_2,DEMO_C006,DEMO_C006,0.0
DEMO_DATE_2,DEMO_C006,DEMO_C007,17.467
DEMO_DATE_2,DEMO_C006,DEMO_C008,7.5891
DEMO_DATE_2,DEMO_C006,DEMO_C_BIG,15.4552
DEMO_DATE_2,DEMO_C007,DEPOT_1,7.9354
DEMO_DATE_2,DEMO_C007,DEMO_C001,7.4473
DEMO_DATE_2,DEMO_C007,DEMO_C002,7.242
DEMO_DATE_2,DEMO_C007,DEMO_C003,6.3604
DEMO_DATE_2,DEMO_C007,DEMO_C004,2.4082
DEMO_DATE_2,DEMO_C007,DEMO_C005,5.7945
DEMO_DATE_2,DEMO_C007,DEMO_C006,17.467
DEMO_DATE_2,DEMO_C007,DEMO_C007,0.0
DEMO_DATE_2,DEMO_C007,DEMO_C008,15.0433
DEMO_DATE_2,DEMO_C007,DEMO_C_BIG,12.1507
DEMO_DATE_2,DEMO_C008,DEPOT_1,8.9601
DEMO_DATE_2,DEMO_C008,DEMO_C001,20.1824
DEMO_DATE_2,DEMO_C008,DEMO_C002,8.4672
DEMO_DATE_2,DEMO_C008,DEMO_C003,8.75
DEMO_DATE_2,DEMO_C008,DEMO_C004,15.0236
DEMO_DATE_2,DEMO_C008,DEMO_C005,20.5809
DEMO_DATE_2,DEMO_C008,DEMO_C006,7.5891
DEMO_DATE_2,DEMO_C008,DEMO_C007,15.0433
DEMO_DATE_2,DEMO_C008,DEMO_C008,0.0
DEMO_DATE_2,DEMO_C008,DEMO_C_BIG,8.4419
DEMO_DATE_2,DEMO_C_BIG,DEPOT_1,11.0967
DEMO_DATE_2,DEMO_C_BIG,DEMO_C001,19.2648
DEMO_DATE_2,DEMO_C_BIG,DEMO_C002,5.5575
DEMO_DATE_2,DEMO_C_BIG,DEMO_C003,7.1647
DEMO_DATE_2,DEMO_C_BIG,DEMO_C004,13.4855
DEMO_DATE_2,DEMO_C_BIG,DEMO_C005,17.8285
DEMO_DATE_2,DEMO_C_BIG,DEMO_C006,15.4552
DEMO_DATE_2,DEMO_C_BIG,DEMO_C007,12.1507
DEMO_DATE_2,DEMO_C_BIG,DEMO_C008,8.4419
DEMO_DATE_2,DEMO_C_BIG,DEMO_C_BIG,0.0
DEMO_DATE_3,DEPOT_1,DEPOT_1,0.0
DEMO_DATE_3,DEPOT_1,DEMO_C001,13.8911
DEMO_DATE_3,DEPOT_1,DEMO_C002,18.1962
DEMO_DATE_3,DEPOT_1,DEMO_C003,14.3785
DEMO_DATE_3,DEPOT_1,DEMO_C004,16.6119
DEMO_DATE_3,DEPOT_1,DEMO_C005,3.4565
DEMO_DATE_3,DEPOT_1,DEMO_C006,18.7955
DEMO_DATE_3,DEPOT_1,DEMO_C007,13.6443
DEMO_DATE_3,DEPOT_1,DEMO_C008,18.3981
DEMO_DATE_3,DEPOT_1,DEMO_C_BIG,15.8582
DEMO_DATE_3,DEMO_C001,DEPOT_1,13.8911
DEMO_DATE_3,DEMO_C001,DEMO_C001,0.0
DEMO_DATE_3,DEMO_C001,DEMO_C002,15.2119
DEMO_DATE_3,DEMO_C001,DEMO_C003,10.0863
DEMO_DATE_3,DEMO_C001,DEMO_C004,18.6452
DEMO_DATE_3,DEMO_C001,DEMO_C005,10.4648
DEMO_DATE_3,DEMO_C001,DEMO_C006,5.349
DEMO_DATE_3,DEMO_C001,DEMO_C007,2.914
DEMO_DATE_3,DEMO_C001,DEMO_C008,14.7533
DEMO_DATE_3,DEMO_C001,DEMO_C_BIG,2.0471
DEMO_DATE_3,DEMO_C002,DEPOT_1,18.1962
DEMO_DATE_3,DEMO_C002,DEMO_C001,15.2119
DEMO_DATE_3,DEMO_C002,DEMO_C002,0.0
DEMO_DATE_3,DEMO_C002,DEMO_C003,5.2638
DEMO_DATE_3,DEMO_C002,DEMO_C004,6.2829
DEMO_DATE_3,DEMO_C002,DEMO_C005,16.0924
DEMO_DATE_3,DEMO_C002,DEMO_C006,14.7753
DEMO_DATE_3,DEMO_C002,DEMO_C007,12.2999
DEMO_DATE_3,DEMO_C002,DEMO_C008,0.8228
DEMO_DATE_3,DEMO_C002,DEMO_C_BIG,16.3301
DEMO_DATE_3,DEMO_C003,DEPOT_1,14.3785
DEMO_DATE_3,DEMO_C003,DEMO_C001,10.0863
DEMO_DATE_3,DEMO_C003,DEMO_C002,5.2638
DEMO_DATE_3,DEMO_C003,DEMO_C003,0.0
DEMO_DATE_3,DEMO_C003,DEMO_C004,9.0593
DEMO_DATE_3,DEMO_C003,DEMO_C005,11.7241
DEMO_DATE_3,DEMO_C003,DEMO_C006,10.6254
DEMO_DATE_3,DEMO_C003,DEMO_C007,7.2065
DEMO_DATE_3,DEMO_C003,DEMO_C008,4.9792
DEMO_DATE_3,DEMO_C003,DEMO_C_BIG,11.397
DEMO_DATE_3,DEMO_C004,DEPOT_1,16.6119
DEMO_DATE_3,DEMO_C004,DEMO_C001,18.6452
DEMO_DATE_3,DEMO_C004,DEMO_C002,6.2829
DEMO_DATE_3,DEMO_C004,DEMO_C003,9.0593
DEMO_DATE_3,DEMO_C004,DEMO_C004,0.0
DEMO_DATE_3,DEMO_C004,DEMO_C005,15.6603
DEMO_DATE_3,DEMO_C004,DEMO_C006,19.6756
DEMO_DATE_3,DEMO_C004,DEMO_C007,15.9349
DEMO_DATE_3,DEMO_C004,DEMO_C008,7.0911
DEMO_DATE_3,DEMO_C004,DEMO_C_BIG,20.2109
DEMO_DATE_3,DEMO_C005,DEPOT_1,3.4565
DEMO_DATE_3,DEMO_C005,DEMO_C001,10.4648
DEMO_DATE_3,DEMO_C005,DEMO_C002,16.0924
DEMO_DATE_3,DEMO_C005,DEMO_C003,11.7241
DEMO_DATE_3,DEMO_C005,DEMO_C004,15.6603
DEMO_DATE_3,DEMO_C005,DEMO_C005,0.0
DEMO_DATE_3,DEMO_C005,DEMO_C006,15.3397
DEMO_DATE_3,DEMO_C005,DEMO_C007,10.2094
DEMO_DATE_3,DEMO_C005,DEMO_C008,16.1673
DEMO_DATE_3,DEMO_C005,DEMO_C_BIG,12.4532
DEMO_DATE_3,DEMO_C006,DEPOT_1,18.7955
DEMO_DATE_3,DEMO_C006,DEMO_C001,5.349
DEMO_DATE_3,DEMO_C006,DEMO_C002,14.7753
DEMO_DATE_3,DEMO_C006,DEMO_C003,10.6254
DEMO_DATE_3,DEMO_C006,DEMO_C004,19.6756
DEMO_DATE_3,DEMO_C006,DEMO_C005,15.3397
DEMO_DATE_3,DEMO_C006,DEMO_C006,0.0
DEMO_DATE_3,DEMO_C006,DEMO_C007,5.3044
DEMO_DATE_3,DEMO_C006,DEMO_C008,14.1036
DEMO_DATE_3,DEMO_C006,DEMO_C_BIG,4.1544
DEMO_DATE_3,DEMO_C007,DEPOT_1,13.6443
DEMO_DATE_3,DEMO_C007,DEMO_C001,2.914
DEMO_DATE_3,DEMO_C007,DEMO_C002,12.2999
DEMO_DATE_3,DEMO_C007,DEMO_C003,7.2065
DEMO_DATE_3,DEMO_C007,DEMO_C004,15.9349
DEMO_DATE_3,DEMO_C007,DEMO_C005,10.2094
DEMO_DATE_3,DEMO_C007,DEMO_C006,5.3044
DEMO_DATE_3,DEMO_C007,DEMO_C007,0.0
DEMO_DATE_3,DEMO_C007,DEMO_C008,11.8396
DEMO_DATE_3,DEMO_C007,DEMO_C_BIG,4.2773
DEMO_DATE_3,DEMO_C008,DEPOT_1,18.3981
DEMO_DATE_3,DEMO_C008,DEMO_C001,14.7533
DEMO_DATE_3,DEMO_C008,DEMO_C002,0.8228
DEMO_DATE_3,DEMO_C008,DEMO_C003,4.9792
DEMO_DATE_3,DEMO_C008,DEMO_C004,7.0911
DEMO_DATE_3,DEMO_C008,DEMO_C005,16.1673
DEMO_DATE_3,DEMO_C008,DEMO_C006,14.1036
DEMO_DATE_3,DEMO_C008,DEMO_C007,11.8396
DEMO_DATE_3,DEMO_C008,DEMO_C008,0.0
DEMO_DATE_3,DEMO_C008,DEMO_C_BIG,15.798
DEMO_DATE_3,DEMO_C_BIG,DEPOT_1,15.8582
DEMO_DATE_3,DEMO_C_BIG,DEMO_C001,2.0471
DEMO_DATE_3,DEMO_C_BIG,DEMO_C002,16.3301
DEMO_DATE_3,DEMO_C_BIG,DEMO_C003,11.397
DEMO_DATE_3,DEMO_C_BIG,DEMO_C004,20.2109
DEMO_DATE_3,DEMO_C_BIG,DEMO_C005,12.4532
DEMO_DATE_3,DEMO_C_BIG,DEMO_C006,4.1544
DEMO_DATE_3,DEMO_C_BIG,DEMO_C007,4.2773
DEMO_DATE_3,DEMO_C_BIG,DEMO_C008,15.798
DEMO_DATE_3,DEMO_C_BIG,DEMO_C_BIG,0.0
