delivery_date,origin_id,destination_id,travel_time_min_p50
DEMO_DATE_1,DEMO_C007,DEMO_C001,13.1863
DEMO_DATE_1,DEMO_C007,DEMO_C002,34.4079
DEMO_DATE_1,DEMO_C007,DEMO_C003,25.6543
DEMO_DATE_1,DEMO_C007,DEMO_C004,16.156
DEMO_DATE_1,DEMO_C007,DEMO_C005,32.5373
DEMO_DATE_1,DEMO_C007,DEMO_C006,6.9477
DEMO_DATE_1,DEMO_C007,DEMO_C007,0.0
DEMO_DATE_1,DEMO_C007,DEMO_C008,17.5287
DEMO_DATE_1,DEMO_C007,DEMO_C_BIG,34.12
DEMO_DATE_1,DEMO_C008,DEPOT_1,15.392
DEMO_DATE_1,DEMO_C008,DEMO_C001,4.8301
DEMO_DATE_1,DEMO_C008,DEMO_C002,50.9813
DEMO_DATE_1,DEMO_C008,DEMO_C003,24.7708
DEMO_DATE_1,DEMO_C008,DEMO_C004,17.2045
DEMO_DATE_1,DEMO_C008,DEMO_C005,46.1682
DEMO_DATE_1,DEMO_C008,DEMO_C006,16.2764
DEMO_DATE_1,DEMO_C008,DEMO_C007,17.5287
DEMO_DATE_1,DEMO_C008,DEMO_C008,0.0
DEMO_DATE_1,DEMO_C008,DEMO_C_BIG,46.556
DEMO_DATE_1,DEMO_C_BIG,DEPOT_1,31.295
DEMO_DATE_1,DEMO_C_BIG,DEMO_C001,44.251
DEMO_DATE_1,DEMO_C_BIG,DEMO_C002,42.9921
DEMO_DATE_1,DEMO_C_BIG,DEMO_C003,59.4231
DEMO_DATE_1,DEMO_C_BIG,DEMO_C004,50.1977
DEMO_DATE_1,DEMO_C_BIG,DEMO_C005,4.1352
DEMO_DATE_1,DEMO_C_BIG,DEMO_C006,30.938
DEMO_DATE_1,DEMO_C_BIG,DEMO_C007,34.12
DEMO_DATE_1,DEMO_C_BIG,DEMO_C008,46.556
DEMO_DATE_1,DEMO_C_BIG,DEMO_C_BIG,0.0
DEMO_DATE_2,DEPOT_1,DEPOT_1,0.0
DEMO_DATE_2,DEPOT_1,DEMO_C001,28.4035
DEMO_DATE_2,DEPOT_1,DEMO_C002,15.2305
DEMO_DATE_2,DEPOT_1,DEMO_C003,11.4543
DEMO_DATE_2,DEPOT_1,DEMO_C004,17.2139
DEMO_DATE_2,DEPOT_1,DEMO_C005,31.3084
DEMO_DATE_2,DEPOT_1,DEMO_C006,23.8887
DEMO_DATE_2,DEPOT_1,DEMO_C007,19.8384
DEMO_DATE_2,DEPOT_1,DEMO_C008,22.4002
DEMO_DATE_2,DEPOT_1,DEMO_C_BIG,27.7418
DEMO_DATE_2,DEMO_C001,DEPOT_1,28.4035
DEMO_DATE_2,DEMO_C001,DEMO_C001,0.0
DEMO_DATE_2,DEMO_C001,DEMO_C002,34.7467
DEMO_DATE_2,DEMO_C001,DEMO_C003,31.3595
DEMO_DATE_2,DEMO_C001,DEMO_C004,14.4575
DEMO_DATE_2,DEMO_C001,DEMO_C005,10.9069
DEMO_DATE_2,DEMO_C001,DEMO_C006,49.9243
DEMO_DATE_2,DEMO_C001,DEMO_C007,18.6184
DEMO_DATE_2,DEMO_C001,DEMO_C008,50.456
DEMO_DATE_2,DEMO_C001,DEMO_C_BIG,48.1621
DEMO_DATE_2,DEMO_C002,DEPOT_1,15.2305
DEMO_DATE_2,DEMO_C002,DEMO_C001,34.7467
DEMO_DATE_2,DEMO_C002,DEMO_C002,0.0
DEMO_DATE_2,DEMO_C002,DEMO_C003,4.1273
DEMO_DATE_2,DEMO_C002,DEMO_C004,20.332
DEMO_DATE_2,DEMO_C002,DEMO_C005,32.5865
DEMO_DATE_2,DEMO_C002,DEMO_C006,33.0598
DEMO_DATE_2,DEMO_C002,DEMO_C007,18.1051
DEMO_DATE_2,DEMO_C002,DEMO_C008,21.168
DEMO_DATE_2,DEMO_C002,DEMO_C_BIG,13.8937
DEMO_DATE_2,DEMO_C003,DEPOT_1,11.4543
DEMO_DATE_2,DEMO_C003,DEMO_C001,31.3595
DEMO_DATE_2,DEMO_C003,DEMO_C002,4.1273
DEMO_DATE_2,DEMO_C003,DEMO_C003,0.0
DEMO_DATE_2,DEMO_C003,DEMO_C004,17.1279
DEMO_DATE_2,DEMO_C003,DEMO_C005,30.1682
DEMO_DATE_2,DEMO_C003,DEMO_C006,31.3311
DEMO_DATE_2,DEMO_C003,DEMO_C007,15.9011
DEMO_DATE_2,DEMO_C003,DEMO_C008,21.875
DEMO_DATE_2,DEMO_C003,DEMO_C_BIG,17.9117
DEMO_DATE_2,DEMO_C004,DEPOT_1,17.2139
DEMO_DATE_2,DEMO_C004,DEMO_C001,14.4575
DEMO_DATE_2,DEMO_C004,DEMO_C002,20.332
DEMO_DATE_2,DEMO_C004,DEMO_C003,17.1279
DEMO_DATE_2,DEMO_C004,DEMO_C004,0.0
DEMO_DATE_2,DEMO_C004,DEMO_C005,14.1693
DEMO_DATE_2,DEMO_C004,DEMO_C006,40.9232
DEMO_DATE_2,DEMO_C004,DEMO_C007,6.0206
DEMO_DATE_2,DEMO_C004,DEMO_C008,37.5591
DEMO_DATE_2,DEMO_C004,DEMO_C_BIG,33.7137
DEMO_DATE_2,DEMO_C005,DEPOT_1,31.3084
DEMO_DATE_2,DEMO_C005,DEMO_C001,10.9069
DEMO_DATE_2,DEMO_C005,DEMO_C002,32.5865
DEMO_DATE_2,DEMO_C005,DEMO_C003,30.1682
DEMO_DATE_2,DEMO_C005,DEMO_C004,14.1693
DEMO_DATE_2,DEMO_C005,DEMO_C005,0.0
DEMO_DATE_2,DEMO_C005,DEMO_C006,54.767
DEMO_DATE_2,DEMO_C005,DEMO_C007,14.4862
DEMO_DATE_2,DEMO_C005,DEMO_C008,51.4522
DEMO_DATE_2,DEMO_C005,DEMO_C_BIG,44.5711
DEMO_DATE_2,DEMO_C006,DEPOT_1,23.8887
DEMO_DATE_2,DEMO_C006,DEMO_C001,49.9243
DEMO_DATE_2,DEMO_C006,DEMO_C002,33.0598
DEMO_DATE_2,DEMO_C006,DEMO_C003,31.3311
DEMO_DATE_2,DEMO_C006,DEMO_C004,40.9232
DEMO_DATE_2,DEMO_C006,DEMO_C005,54.767
DEMO_DATE_2,DEMO_C006,DEMO_C006,0.0
DEMO_DATE_2,DEMO_C006,DEMO_C007,43.6676
DEMO_DATE_2,DEMO_C006,DEMO_C008,18.9728
DEMO_DATE_2,DEMO_C006,DEMO_C_BIG,38.6381
DEMO_DATE_2,DEMO_C007,DEPOT_1,19.8384
DEMO_DATE_2,DEMO_C007,DEMO_C001,18.6184
DEMO_DATE_2,DEMO_C007,DEMO_C002,18.1051
DEMO_DATE_2,DEMO_C007,DEMO_C003,15.9011
DEMO_DATE_2,DEMO_C007,DEMO_C004,6.0206
DEMO_DATE_2,DEMO_C007,DEMO_C005,14.4862
DEMO_DATE_2,DEMO_C007,DEMO_C006,43.6676
DEMO_DATE_2,DEMO_C007,DEMO_C007,0.0
DEMO_DATE_2,DEMO_C007,DEMO_C008,37.6083
DEMO_DATE_2,DEMO_C007,DEMO_C_BIG,30.3768
DEMO_DATE_2,DEMO_C008,DEPOT_1,22.4002
DEMO_DATE_2,DEMO_C008,DEMO_C001,50.456
DEMO_DATE_2,DEMO_C008,DEMO_C002,21.168
DEMO_DATE_2,DEMO_C008,DEMO_C003,21.875
DEMO_DATE_2,DEMO_C008,DEMO_C004,37.5591
DEMO_DATE_2,DEMO_C008,DEMO_C005,51.4522
DEMO_DATE_2,DEMO_C008,DEMO_C006,18.9728
DEMO_DATE_2,DEMO_C008,DEMO_C007,37.6083
DEMO_DATE_2,DEMO_C008,DEMO_C008,0.0
DEMO_DATE_2,DEMO_C008,DEMO_C_BIG,21.1047
DEMO_DATE_2,DEMO_C_BIG,DEPOT_1,27.7418
DEMO_DATE_2,DEMO_C_BIG,DEMO_C001,48.1621
DEMO_DATE_2,DEMO_C_BIG,DEMO_C002,13.8937
DEMO_DATE_2,DEMO_C_BIG,DEMO_C003,17.9117
DEMO_DATE_2,DEMO_C_BIG,DEMO_C004,33.7137
DEMO_DATE_2,DEMO_C_BIG,DEMO_C005,44.5711
DEMO_DATE_2,DEMO_C_BIG,DEMO_C006,38.6381
DEMO_DATE_2,DEMO_C_BIG,DEMO_C007,30.3768
DEMO_DATE_2,DEMO_C_BIG,DEMO_C008,21.1047
DEMO_DATE_2,DEMO_C_BIG,DEMO_C_BIG,0.0
DEMO_DATE_3,DEPOT_1,DEPOT_1,0.0
DEMO_DATE_3,DEPOT_1,DEMO_C001,34.7277
DEMO_DATE_3,DEPOT_1,DEMO_C002,45.4905
DEMO_DATE_3,DEPOT_1,DEMO_C003,35.9462
DEMO_DATE_3,DEPOT_1,DEMO_C004,41.5299
DEMO_DATE_3,DEPOT_1,DEMO_C005,8.6411
DEMO_DATE_3,DEPOT_1,DEMO_C006,46.9887
DEMO_DATE_3,DEPOT_1,DEMO_C007,34.1108
DEMO_DATE_3,DEPOT_1,DEMO_C008,45.9953
DEMO_DATE_3,DEPOT_1,DEMO_C_BIG,39.6456
DEMO_DATE_3,DEMO_C001,DEPOT_1,34.7277
DEMO_DATE_3,DEMO_C001,DEMO_C001,0.0
DEMO_DATE_3,DEMO_C001,DEMO_C002,38.0298
DEMO_DATE_3,DEMO_C001,DEMO_C003,25.2157
DEMO_DATE_3,DEMO_C001,DEMO_C004,46.6129
DEMO_DATE_3,DEMO_C001,DEMO_C005,26.162
DEMO_DATE_3,DEMO_C001,DEMO_C006,13.3724
DEMO_DATE_3,DEMO_C001,DEMO_C007,7.2849
DEMO_DATE_3,DEMO_C001,DEMO_C008,36.8832
DEMO_DATE_3,DEMO_C001,DEMO_C_BIG,5.1177
DEMO_DATE_3,DEMO_C002,DEPOT_1,45.4905
DEMO_DATE_3,DEMO_C002,DEMO_C001,38.0298
DEMO_DATE_3,DEMO_C002,DEMO_C002,0.0
DEMO_DATE_3,DEMO_C002,DEMO_C003,13.1595
DEMO_DATE_3,DEMO_C002,DEMO_C004,15.7071
DEMO_DATE_3,DEMO_C002,DEMO_C005,40.2311
DEMO_DATE_3,DEMO_C002,DEMO_C006,36.9382
DEMO_DATE_3,DEMO_C002,DEMO_C007,30.7496
DEMO_DATE_3,DEMO_C002,DEMO_C008,2.0571
DEMO_DATE_3,DEMO_C002,DEMO_C_BIG,40.8253
DEMO_DATE_3,DEMO_C003,DEPOT_1,35.9462
DEMO_DATE_3,DEMO_C003,DEMO_C001,25.2157
DEMO_DATE_3,DEMO_C003,DEMO_C002,13.1595
DEMO_DATE_3,DEMO_C003,DEMO_C003,0.0
DEMO_DATE_3,DEMO_C003,DEMO_C004,22.6483
DEMO_DATE_3,DEMO_C003,DEMO_C005,29.3103
DEMO_DATE_3,DEMO_C003,DEMO_C006,26.5634
DEMO_DATE_3,DEMO_C003,DEMO_C007,18.0162
DEMO_DATE_3,DEMO_C003,DEMO_C008,12.4479
DEMO_DATE_3,DEMO_C003,DEMO_C_BIG,28.4926
DEMO_DATE_3,DEMO_C004,DEPOT_1,41.5299
DEMO_DATE_3,DEMO_C004,DEMO_C001,46.6129
DEMO_DATE_3,DEMO_C004,DEMO_C002,15.7071
DEMO_DATE_3,DEMO_C004,DEMO_C003,22.6483
DEMO_DATE_3,DEMO_C004,DEMO_C004,0.0
DEMO_DATE_3,DEMO_C004,DEMO_C005,39.1507
DEMO_DATE_3,DEMO_C004,DEMO_C006,49.1891
DEMO_DATE_3,DEMO_C004,DEMO_C007,39.8372
DEMO_DATE_3,DEMO_C004,DEMO_C008,17.7277
DEMO_DATE_3,DEMO_C004,DEMO_C_BIG,50.5274
DEMO_DATE_3,DEMO_C005,DEPOT_1,8.6411
DEMO_DATE_3,DEMO_C005,DEMO_C001,26.162
DEMO_DATE_3,DEMO_C005,DEMO_C002,40.2311
DEMO_DATE_3,DEMO_C005,DEMO_C003,29.3103
DEMO_DATE_3,DEMO_C005,DEMO_C004,39.1507
DEMO_DATE_3,DEMO_C005,DEMO_C005,0.0
DEMO_DATE_3,DEMO_C005,DEMO_C006,38.3492
DEMO_DATE_3,DEMO_C005,DEMO_C007,25.5236
DEMO_DATE_3,DEMO_C005,DEMO_C008,40.4182
DEMO_DATE_3,DEMO_C005,DEMO_C_BIG,31.1331
DEMO_DATE_3,DEMO_C006,DEPOT_1,46.9887
DEMO_DATE_3,DEMO_C006,DEMO_C001,13.3724
DEMO_DATE_3,DEMO_C006,DEMO_C002,36.9382
DEMO_DATE_3,DEMO_C006,DEMO_C003,26.5634
DEMO_DATE_3,DEMO_C006,DEMO_C004,49.1891
DEMO_DATE_3,DEMO_C006,DEMO_C005,38.3492
DEMO_DATE_3,DEMO_C006,DEMO_C006,0.0
DEMO_DATE_3,DEMO_C006,DEMO_C007,13.2611
DEMO_DATE_3,DEMO_C006,DEMO_C008,35.2589
DEMO_DATE_3,DEMO_C006,DEMO_C_BIG,10.386
DEMO_DATE_3,DEMO_C007,DEPOT_1,34.1108
DEMO_DATE_3,DEMO_C007,DEMO_C001,7.2849
DEMO_DATE_3,DEMO_C007,DEMO_C002,30.7496
DEMO_DATE_3,DEMO_C007,DEMO_C003,18.0162
DEMO_DATE_3,DEMO_C007,DEMO_C004,39.8372
DEMO_DATE_3,DEMO_C007,DEMO_C005,25.5236
DEMO_DATE_3,DEMO_C007,DEMO_C006,13.2611
DEMO_DATE_3,DEMO_C007,DEMO_C007,0.0
DEMO_DATE_3,DEMO_C007,DEMO_C008,29.5991
DEMO_DATE_3,DEMO_C007,DEMO_C_BIG,10.6933
DEMO_DATE_3,DEMO_C008,DEPOT_1,45.9953
DEMO_DATE_3,DEMO_C008,DEMO_C001,36.8832
DEMO_DATE_3,DEMO_C008,DEMO_C002,2.0571
DEMO_DATE_3,DEMO_C008,DEMO_C003,12.4479
DEMO_DATE_3,DEMO_C008,DEMO_C004,17.7277
DEMO_DATE_3,DEMO_C008,DEMO_C005,40.4182
DEMO_DATE_3,DEMO_C008,DEMO_C006,35.2589
DEMO_DATE_3,DEMO_C008,DEMO_C007,29.5991
DEMO_DATE_3,DEMO_C008,DEMO_C008,0.0
DEMO_DATE_3,DEMO_C008,DEMO_C_BIG,39.4949
DEMO_DATE_3,DEMO_C_BIG,DEPOT_1,39.6456
DEMO_DATE_3,DEMO_C_BIG,DEMO_C001,5.1177
DEMO_DATE_3,DEMO_C_BIG,DEMO_C002,40.8253
DEMO_DATE_3,DEMO_C_BIG,DEMO_C003,28.4926
DEMO_DATE_3,DEMO_C_BIG,DEMO_C004,50.5274
DEMO_DATE_3,DEMO_C_BIG,DEMO_C005,31.1331
DEMO_DATE_3,DEMO_C_BIG,DEMO_C006,10.386
DEMO_DATE_3,DEMO_C_BIG,DEMO_C007,10.6933
DEMO_DATE_3,DEMO_C_BIG,DEMO_C008,39.4949
DEMO_DATE_3,DEMO_C_BIG,DEMO_C_BIG,0.0
